{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '50777', 'destinationIp': '127.0.0.1', 'destinationPort': '50778', 'status': 'ESTABLISHED', 'pid': '12748'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '50778', 'destinationIp': '127.0.0.1', 'destinationPort': '50777', 'status': 'ESTABLISHED', 'pid': '12748'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '50779', 'destinationIp': '127.0.0.1', 'destinationPort': '50780', 'status': 'ESTABLISHED', 'pid': '5844'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '50780', 'destinationIp': '127.0.0.1', 'destinationPort': '50779', 'status': 'ESTABLISHED', 'pid': '5844'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '55366', 'destinationIp': '127.0.0.1', 'destinationPort': '55367', 'status': 'ESTABLISHED', 'pid': '6120'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '55367', 'destinationIp': '127.0.0.1', 'destinationPort': '55366', 'status': 'ESTABLISHED', 'pid': '6120'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58177', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58178', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58179', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58192', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58218', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58229', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58239', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '127.0.0.1', 'sourcePort': '58240', 'destinationIp': '127.0.0.1', 'destinationPort': '9000', 'status': 'TIME_WAIT', 'pid': '0'}
